country,iso3,year,population,life_expectancy,inflation_rate,NY.GDP.PCAP.CD
Czechia,CZE,1985,10337118,71.0463414634146,,
Czechia,CZE,1986,10342227,70.9973170731707,,
Czechia,CZE,1987,10347318,71.4456097560976,,
Czechia,CZE,1988,10355276,71.6414634146342,,
Czechia,CZE,1989,10361068,71.6756097560976,,
Czechia,CZE,1990,10333355,71.3839024390244,,3969.36733543794
Czechia,CZE,1991,10308578,71.8982926829268,,2917.08655474323
Czechia,CZE,1992,10319123,72.2717073170732,11.086500072223,3396.70972430469
Czechia,CZE,1993,10329855,72.7678048780488,20.8130295438428,3984.1463439879
Czechia,CZE,1994,10333587,72.9726829268293,10.039429835143,4663.28665345469
Czechia,CZE,1995,10327253,73.0748780487805,8.99052361478448,5865.29460556726
Czechia,CZE,1996,10315241,73.7146341463415,8.75877472878111,6573.19643136362
Czechia,CZE,1997,10304131,73.8248780487805,8.59615666715564,6069.38762357837
Czechia,CZE,1998,10294373,74.5146341463415,10.6983655274888,6526.59635780951
Czechia,CZE,1999,10283860,74.6682926829268,2.13544844417329,6377.6211077224
Czechia,CZE,2000,10255063,74.9682926829268,3.77538829151729,6062.92152842793
Czechia,CZE,2001,10216605,75.1731707317073,4.66267556988257,6669.07494847497
Czechia,CZE,2002,10196916,75.2219512195122,1.90298097019026,8101.26018588111
Czechia,CZE,2003,10193998,75.1707317073171,0.118739205526814,9852.45677945801
Czechia,CZE,2004,10197101,75.7219512195122,2.76010781671153,11782.5546676117
Czechia,CZE,2005,10211216,75.9243902439025,1.85709789109228,13442.4916284309
Czechia,CZE,2006,10238905,76.5243902439024,2.53399258343633,15259.0788162004
Czechia,CZE,2007,10298828,76.7243902439025,2.8531243721117,18452.6532812196
Czechia,CZE,2008,10384603,76.9756097560976,6.3586638015237,22774.7045076205
Czechia,CZE,2009,10443936,77.0780487804878,1.01937735329229,19817.4215836554
Czechia,CZE,2010,10474410,77.4243902439025,1.47272727272728,20160.4355077059
Czechia,CZE,2011,10496088,77.8731707317073,1.9172191363555,22049.1080788682
